"Item Number","Title","Title Notes","Author","Year","Exhibitor/Organizer/Publisher/Series","Pagination","Dimensions","LCCN","ISBN","Language","Binding","List Price","Library Disc.","Disc. Price","List Date","Country of Publication","List Number","Bulletin Number","Status","Plans","Region","Country","Period","Medium","Topic","Style","Collection","Artist","Comment","Brief title (for alphabetic sorting)","Author (alphabetic)","Key Language"
"37832","HELLO, ROBOT: DESIGN BETWEEN HUMAN AND MACHINE.","","Mateo Kries.","2017.","Vitra Design Museum, Weil am Rhein.  Distributed in the U.S.A. by Artbook|D.A.P., New York.","328 pp. with 250 col. ills.","25 x 20 cm.","","ISBN 9783945852118","In English.","Paperbound","$75.00","10% disc.","$67.50","September 2017","Germany","436","","In Stock","73,01,05,07,08,15,20","Western, International (Western Style)","","Post-1945, Post-2000","","Commercial/Industrial Design","","","","Publisher's description: Robotics now: from transport drones and intelligent sensors to the debate around Industry 4.0. Hello, Robot.: Design between Human and Machine investigates how robotics is becoming part of our everyday lives, demonstrating that design in its traditional function as a mediator is indispensable if robots are to become a visible reality and not just remain hidden in washing machines, cars and cash machines. The volume clarifies where we already encounter these intelligent machines and where we may come across them in the near future: in industry, in the military and in everyday settings; at nurseries and retirement homes; in our bodies and in the cloud; when shopping and having sex; in video games and, of course, in film and literature. In a series of in-depth essays and interviews, experts such as the science-fiction author Bruce Sterling, novelist Douglas Coupland, architect Philip Beesley, and the design duo Dunne & Raby explore the question of how we deal with our environment becoming increasingly digital, smarter and more autonomous. They highlight our often ambivalent relationship to new technologies and discuss the opportunities and challenges that are posed to us as individuals and as a society in this context.","HELLO ROBOT DESIGN BETWEEN HUMAN AND MACHINE","Kries, Mateo","English"
"37987","CASANOVA: THE SEDUCTION OF EUROPE.","","Frederick Ilchman.","2017.","MFA Publications, Museum of Fine Arts, Boston.  Distributed by Artbook|D.A.P., New York.","344 pp. with 180 col. ills.","26 x 20 cm.","","ISBN 9780878468423","In English.","Hardcover","$45.00","10% disc.","$40.50","September 2017","United States","436","","In Stock","73,01,06,07,08,09,10,17,55","Western, Europe","","1600-1800","Several Media","","","","","Publisher's description: From the salon to the boudoir: the world of Casanova as seen through the art of his era. In 18th-century Europe, while the old order reveled in the luxurious excesses of the Rococo style and the Enlightenment sowed the seeds of revolution, the shapeshifting libertine Giacomo Casanova seduced his way across the continent. Although notorious for the scores of amorous conquests he recorded in his remarkably frank memoirs, Casanova was just as practiced at charming his way into the most elite social circles, through an inimitable mix of literary ambition, improvisational genius and outright fraud. In his travels across Europe and through every level of society from the theatrical demimonde to royal courts, he was also seduced by the visual splendors he encountered. This volume accompanies the first major art exhibition outside Europe to lavishly recreate Casanova's visual world, from his birthplace of Venice, city of masquerades, to the cultural capitals of Paris and London and the outposts of Eastern Europe.","CASANOVA THE SEDUCTION OF EUROPE","Ilchman, Frederick","English"
"38023","PICASSO: MINOTAURS AND MATADORS.","","John Richardson.","2017.","Gagosian Gallery, New York.  Distributed by Rizzoli International Publications, Inc., New York.","262 pp.","28 x 22 cm.","","ISBN 9780847861101","In English.","Paperbound","$100.00","20% disc.","$80.00","September 2017","United States","436","","In Stock","70,02,03,20,55","Western, Europe","Spain","1900-1945, Post-1945","Several Media","","","","Picasso, Pablo","Publisher's description: Curated by noted Picasso biographer John Richardson, this exhibition catalogue examines the intersection of Picasso's bullfighting imagery with the mythological (and biographical) compositions of the 1930's. Including works dating from 1897 to 1972, this fully illustrated catalogue presents a career-long survey of Picasso's engagement with ancient bullfighting and mythological narratives and includes essays by noted Picasso scholars Michael FitzGerald and Gertje Utley.","PICASSO MINOTAURS AND MATADORS","Richardson, John","English"
"84070","THE ENCHANTED WORLD OF GERMAN ROMANTIC PRINTS, 1770-1850.","","John Ittmann.","2017.","Philadelphia Museum of Art. Published in association with Yale University Press, New Haven. ","432 pp.","30 x 26 cm.","","ISBN 9780300197624","In English.","Hardcover","$65.00","10% disc.","$58.50","September 2017","United States","436","","In Stock","71,75,55","Western, Europe","Germany","1600-1800, 1800-1900","Graphic Arts (Prints)","","","","","Publisher's description: From the 1770s through the 1840s, German, Austrian, and Swiss artists used the medium of printmaking to create works that synthesized poetry, literature, music, and the visual arts in new and captivating ways. Finding an eager audience in the growing number of educated middle-class collectors, printmakers experimented with modern technologies, such as lithography, and drew on the contemporary interest in regional folklore and traditional fairy tales to produce innovative compositions that both contributed to and reflected the dramatic cultural and political upheavals of the Romantic era. Featuring the work of more than 120 artists, including Casper David Friedrich, Ludwig Emil Grimm, Joseph Anton Koch, Philipp Otto Runge, and Johann Gottfried Schadow, this authoritative book contains many unique and never-before-published examples of prints from the Philadelphia Museum of Art's unrivaled collection.","ENCHANTED WORLD OF GERMAN ROMANTIC PRINTS 1770 1850","Ittmann, John","English"
"176703","DHAKA: MEMORIES OR LOST -- KASHEF CHOWDHURY.","","","2017.","Verlag Scheidegger & Spiess, Zurich.  Distributed in the U.S.A. by University of Chicago Press.","56 pp. with 26 ills.","33 x 23 cm.","","ISBN 9783858817877","In English.","Hardcover","$39.00","10% disc.","$35.10","September 2017","000","436","","In Stock","71","Western, Non-Western in a Western Style, Middle East and North Africa (Western Style)","Bangladesh","Post-1945, Post-2000","Photography","","","","Chowdhury, Kashef","Publisher's description: Upon setting foot in Dhaka, with its beautifully landscaped gardens adorning ancient mosques and monuments, it becomes clear that this is a city steeped in history. One of the oldest settlements in Bangladesh, it is today among the largest cities in the world, and rapid, often unplanned, urbanization has vastly outpaced sustainability, threatening the historic buildings and communities that make up the city's cultural soul. But, despite bursting at the seams, Dhaka's six centuries of history are still visible if we are to look carefully in the shadows of the tall buildings, in the spaces between the speeding cars. Dhaka-based architect Kashef Chowdhury's camera captures a record of the capital city -- of the local character that may soon be lost due to urban development. In Chowdhury's photographs, a woman hangs sheets of polythene to dry and resell, a blind man sings mystic love songs. Other photographs reflect Dhaka's state of social and cultural flux, like an image of weary night-shift workers returning from a wholesale market in the late morning or of the barely visible lights of a pick-up truck concealed to prevent theft. Chowdhury is one of South Asia's most renowned architects, and Dhaka -- Memories or Lost constitutes his deeply personal tribute to the city.","DHAKA MEMORIES OR LOST KASHEF CHOWDHURY","","English"
"177903","SCIENCE FOR THE CURIOUS PHOTOGRAPHER: AN INTRODUCTION TO THE SCIENCE OF PHOTOGRAPHY.","Second edition.","Charles S. Johnson Jr.","2017.","Routledge, Taylor & Francis Group, New York. A Focal Press Book. Original edition published 2010.","304 pp. with 201 ills. (170 col.).","25 x 18 cm.","","ISBN 9780415793261","In English.","Paperbound","$49.95","10% disc.","$44.95","September 2017","000","436","","In Stock","73","Western, International (Western Style)","","Post-1945, Post-2000","Photography","","","","","For the hardcover edition, see Worldwide 177902. Publisher's description: This is a book for those who love photography and like to understand how things work. It begins with an introduction to the history and science of photography and addresses questions about the principles of photography, such as why a camera needs a lens, how lenses work, and why modern lenses are so complicated. Digital photography raises more questions because enlarged images on computer screens reveal defects in color and resolution that are not obvious in small snapshots. What limits resolution, what is noise in images, and what level of detail can be appreciated by an observer? All of these questions and others concerning human perception of color and subjective image quality are covered in detail. Finally, the creation and appreciation of art in photography is presented from the standpoint of modern cognitive science.","SCIENCE FOR THE CURIOUS PHOTOGRAPHER AN INTRODUCTION TO THE SCIE","Johnson, Jr., Charles S.","English"
"177907","SURREALISM AND THE GOTHIC: CASTLES OF THE INTERIOR.","","Neil Matheson.","2017.","Routledge, Taylor & Francis Group, New York.  ","","","","ISBN 9781409432746","In English.","Hardcover","$150.00","","$150.00","September 2017","000","","","In Stock","73","","","","","","","","","Publisher's description: Surrealism and the Gothic is the first book-length analysis of the role played by the gothic in both the initial emergence of surrealism and at key moments in its subsequent development as an art and literary movement. The book argues the strong and sustained influence, not only of the classic gothic novel itself - Ann Radcliffe, Charles Maturin, Matthew Lewis, etc. - but also the determinative impact of closely related phenomena, as with the influence of mediumism, alchemy and magic. The book also traces the later development of the gothic novel, as with Bram Stoker's Dracula, and its mutation into such works of popular fiction as the Fantômas series of Marcel Allain and Pierre Souvestre, enthusiastically taken up by writers such as Apollinaire and subsequently feeding into the development of surrealism. More broadly, the book considers a range of motifs strongly associated with gothic writing, as with insanity, incarceration and the 'accursed outsider', explored in relation to the personal experience and electroshock treatment of Antonin Artaud. A recurring motif of the analysis is that of the gothic castle, developed in the writings of Andre Breton, Artaud, Sade, Julien Gracq and other writers, as well as in the work of visual artists such as Magritte.","SURREALISM AND THE GOTHIC CASTLES OF THE INTERIOR","Matheson, Neil",""
"177939","MINOAN ARCHITECTURE AND URBANISM: NEW PERSPECTIVES ON AN ANCIENT BUILT ENVIRONMENT.","","Ed. by Quentin Letesson and Carl Knappett.","2017.","Oxford University Press.  ","416 pp. with 141 ills.","24 x 16 cm.","LC 2016-960174","ISBN 9780198793625","In English.","Hardcover","$130.00","10% disc.","$117.00","September 2017","000","436","","In Stock","71,55","Western, Ancient Mediterranean","Greece","","Architecture","Urban Planning","","","","","MINOAN ARCHITECTURE AND URBANISM NEW PERSPECTIVES ON AN ANCIENT","Letesson, Quentin",""
"178121","DEMOCRATISING BEAUTY IN NINETEENTH-CENTURY BRITAIN.","","","2017.","Cambridge University Press.  ","","","","ISBN 9781107184084","In English.","Hardcover","$99.99","10% disc.","$89.99","September 2017","000","","","In Stock","71","","","","","","","","","Publisher's description: Could the self-interested pursuit of beauty actually help to establish the moral and political norms that enable democratic society to flourish? In this book, Lucy Hartley identifies a new language for speaking about beauty, which begins to be articulated from the 1830s in a climate of political reform and becomes linked to emerging ideals of equality, liberty, and individuality. Examining British art and art writing by Charles Lock Eastlake, John Ruskin, Walter Pater, Edward Poynter, William Morris, and John Addington Symonds, Hartley traces a debate about what it means to be interested in beauty and whether this preoccupation is necessary to public political life. Drawing together political history, art history, and theories of society, and supplemented by numerous illustrations, Democratising Beauty in Nineteenth-Century Britain offers a fresh interdisciplinary understanding of the relation of art to its publics.","DEMOCRATISING BEAUTY IN NINETEENTH CENTURY BRITAIN","",""
"178876","THE DICTIONARY OF FASHION HISTORY.","Second edition.","","2017.","Bloomsbury Academic, Bloomsbury Publishing, London. Original edition published 1960 as A Dictionary of English Costume, 900-1900. ","","","","ISBN 9781472577696","In English.","Hardcover","$122.00","10% disc.","$109.80","September 2017","000","","","In Stock","73","","","","","","","","","For the paperbound edition, see Worldwide 178877. Publisher's description: What is an Apollo knot? Who wore a Welch wig? When were Zouave jackets the height of fashion? This new edition of The Dictionary of Fashion History further updates the landmark work of C. Willett Cunnington, Phillis Cunnington and Charles Beard. Featuring over 60 new and revised entries on diverse topics such as the Onesie, Brothel Creepers and the Birkin Bag, this edition is even more comprehensive and brings this costume historian's bible fully up to date. With many more images to accompany the text and illustrate key fashions -- including cartoons, prints and lavish color photographs of surviving garments -- this version of the dictionary brings dazzling and unusual garments to life for researchers, students, costume designers and everyone interested in the subject. Clear, concise, and meticulous in detail, this essential reference work answers countless questions relating to the history of dress and adornment and will continue to be the definitive guide for many years to come.","DICTIONARY OF FASHION HISTORY","",""
